talhao,date,t_mean,t_max,t_min,precipitacao_total,evapotranspiracao_total,umidade_solo_mean,radiacao_solar_mean,ndvi_medio,ndvi_periodo,gdd,gdd_acumulado_30d,gdd_acumulado_90d,chuva_acumulada_30d,evapo_acumulada_30d,balanco_hidrico_30d,balanco_hidrico_lag_30d,balanco_hidrico_lag_60d,chuva_acumulada_lag_30d,radiacao_acumulada_30d,dias_calor_extremo_30d,dias_frio_extremo_30d,mes_seno,mes_cosseno,eventos_chuva_extrema_30d
RP_Talhao_Central,2024-03-01,27.241666666666664,34.3,21.9,1.2000000000000002,6.06,0.3585416666666667,301.2916666666667,0.2334615769825363,2024-03,9.241666666666664,207.39583333333334,666.3125,87.60000000000002,142.47,-54.869999999999976,-23.289999999999992,-77.92999999999995,130.20000000000002,7750.083333333333,0.0,0.0,1.0,6.123233995736766e-17,0.0
RP_Talhao_Central,2024-03-02,26.3,32.3,20.6,0.0,5.8,0.3476666666666666,300.9166666666667,0.2334615769825363,2024-03,8.3,209.8875,664.1166666666667,85.20000000000002,142.84,-57.639999999999986,-26.17999999999998,-71.52999999999997,128.10000000000002,7749.625,0.0,0.0,1.0,6.123233995736766e-17,0.0
RP_Talhao_Central,2024-03-03,27.0625,33.3,21.1,0.0,5.68,0.3418333333333334,295.7083333333333,0.2334615769825363,2024-03,9.0625,213.43749999999997,664.5875000000001,85.20000000000002,144.69,-59.48999999999998,-52.679999999999964,-44.31999999999999,101.50000000000001,7856.083333333333,0.0,0.0,1.0,6.123233995736766e-17,0.0
RP_Talhao_Central,2024-03-04,26.858333333333334,33.1,21.8,5.6000000000000005,5.51,0.3363333333333334,288.2083333333333,0.2334615769825363,2024-03,8.858333333333334,214.91666666666666,666.2375,90.4,145.73000000000002,-55.33000000000001,-59.22999999999996,-49.449999999999974,94.10000000000002,7928.541666666666,0.0,0.0,1.0,6.123233995736766e-17,0.0
RP_Talhao_Central,2024-03-05,24.90833333333333,30.4,21.6,11.9,4.25,0.33970833333333333,243.91666666666666,0.2334615769825363,2024-03,6.908333333333331,216.79166666666666,665.2708333333334,98.00000000000001,147.46,-49.459999999999994,-51.369999999999976,-52.01999999999998,98.30000000000001,8036.625,0.0,0.0,1.0,6.123233995736766e-17,0.0
RP_Talhao_Central,2024-03-06,25.2,31.3,20.6,15.5,5.2299999999999995,0.35474999999999995,292.7916666666667,0.2334615769825363,2024-03,7.199999999999999,217.67083333333332,663.1208333333333,113.40000000000002,148.62,-35.219999999999985,-49.31999999999999,-53.11999999999996,98.4,8111.041666666667,0.0,0.0,1.0,6.123233995736766e-17,0.0
RP_Talhao_Central,2024-03-07,25.420833333333334,30.9,21.2,1.2000000000000002,4.5200000000000005,0.359875,252.08333333333334,0.2334615769825363,2024-03,7.420833333333334,218.42916666666667,662.9166666666666,113.60000000000002,147.79,-34.18999999999997,-48.12000000000002,-67.76999999999995,99.10000000000001,8060.333333333333,0.0,0.0,1.0,6.123233995736766e-17,0.0
RP_Talhao_Central,2024-03-08,25.866666666666664,30.9,22.0,1.5999999999999999,4.36,0.36341666666666667,239.125,0.2334615769825363,2024-03,7.866666666666664,219.24166666666665,662.2541666666666,113.80000000000001,147.39,-33.589999999999975,-46.55,-66.34999999999998,99.40000000000002,8038.041666666667,0.0,0.0,1.0,6.123233995736766e-17,0.0
RP_Talhao_Central,2024-03-09,25.816666666666666,31.9,23.1,22.8,4.38,0.3645833333333333,235.58333333333334,0.2334615769825363,2024-03,7.816666666666666,220.5125,662.5458333333333,135.60000000000002,147.17,-11.569999999999965,-50.04999999999998,-73.77999999999999,95.10000000000002,8013.125,0.0,0.0,1.0,6.123233995736766e-17,0.0
RP_Talhao_Central,2024-03-10,25.150000000000002,29.1,22.0,4.2,3.84,0.3547916666666666,213.20833333333334,0.2334615769825363,2024-03,7.150000000000002,219.89166666666665,663.4416666666667,139.4,145.07,-5.6699999999999875,-58.219999999999985,-74.27999999999997,88.10000000000001,7907.583333333334,0.0,0.0,1.0,6.123233995736766e-17,0.0
