talhao,date,t_mean,t_max,t_min,precipitacao_total,evapotranspiracao_total,umidade_solo_mean,radiacao_solar_mean,ndvi_medio,chuva_acumulada_30d,chuva_acumulada_60d,chuva_acumulada_90d,gdd_diario,GDA_mensal,ndvi_target
RP_Talhao_Central,2024-04-21,22.004166666666666,28.7,16.6,0.0,4.49,0.3675833333333333,250.125,0.2398491888575557,98.80000000000001,204.4,310.2,4.004166666666666,168.6375,0.2398491888575557
RP_Talhao_Central,2024-04-22,22.233333333333334,28.9,16.1,0.0,4.29,0.36824999999999997,238.79166666666666,0.2398491888575557,96.40000000000002,203.7,299.2,4.233333333333334,169.29166666666666,0.2398491888575557
RP_Talhao_Central,2024-04-23,22.375,29.6,16.0,0.0,4.45,0.37070833333333336,240.83333333333334,0.2398491888575557,94.90000000000002,203.3,298.7,4.375,169.91666666666666,0.2398491888575557
RP_Talhao_Central,2024-04-24,23.3875,30.4,16.7,0.0,4.37,0.3718333333333333,231.83333333333334,0.2398491888575557,88.20000000000002,202.7,297.8,5.387499999999999,170.50833333333335,0.2398491888575557
RP_Talhao_Central,2024-04-25,24.233333333333334,30.7,18.5,0.0,4.58,0.37375,234.58333333333334,0.2398491888575557,53.600000000000016,202.5,297.8,6.233333333333334,173.11666666666665,0.2398491888575557
RP_Talhao_Central,2024-04-26,24.45,30.6,19.5,0.0,4.41,0.37079166666666663,221.125,0.2398491888575557,33.100000000000016,202.2,297.8,6.449999999999999,176.6875,0.2398491888575557
RP_Talhao_Central,2024-04-27,24.508333333333336,30.7,20.1,0.0,4.1899999999999995,0.36904166666666666,223.25,0.2398491888575557,22.400000000000013,201.8,288.1,6.508333333333336,179.15,0.2398491888575557
RP_Talhao_Central,2024-04-28,24.150000000000002,30.8,18.1,0.0,4.14,0.37037499999999995,223.33333333333334,0.2398491888575557,20.200000000000017,200.0,288.0,6.150000000000002,180.03333333333333,0.2398491888575557
RP_Talhao_Central,2024-04-29,24.525000000000002,30.9,19.2,0.0,4.44,0.369,222.375,0.2398491888575557,16.80000000000001,199.9,287.5,6.525000000000002,181.35000000000002,0.2398491888575557
RP_Talhao_Central,2024-04-30,23.995833333333334,30.6,18.6,0.0,4.31,0.3619583333333333,231.29166666666666,0.2398491888575557,16.100000000000016,198.7,286.3,5.995833333333334,181.38333333333335,0.2398491888575557
RP_Talhao_Central,2024-05-01,24.191666666666666,31.1,18.4,0.0,4.39,0.35483333333333333,230.5,0.2425725066587306,15.500000000000014,198.7,283.9,6.191666666666666,181.65833333333336,0.2425725066587306
RP_Talhao_Central,2024-05-02,24.3,31.2,18.4,0.0,4.53,0.34841666666666665,228.25,0.2425725066587306,11.200000000000014,198.7,283.9,6.300000000000001,182.35416666666666,0.2425725066587306
RP_Talhao_Central,2024-05-03,24.425,31.6,18.4,0.0,4.23,0.3405,222.5,0.2425725066587306,11.200000000000014,193.1,283.5,6.425000000000001,182.29583333333335,0.2425725066587306
